"","id","jail","state","county","fips","statecode","treated","year","mortality_rate"
"70",6,"Mac Sim Butler Montgomery County Detention Facility","Alabama","Montgomery",1101,"AL",1,2017,0
"71",6,"Mac Sim Butler Montgomery County Detention Facility","Alabama","Montgomery",1101,"AL",1,2018,0
"72",6,"Mac Sim Butler Montgomery County Detention Facility","Alabama","Montgomery",1101,"AL",1,2019,1.66112956810631
"73",7,"Madison County Detention Facility","Alabama","Madison",1089,"AL",1,2008,0
"74",7,"Madison County Detention Facility","Alabama","Madison",1089,"AL",1,2009,0
"75",7,"Madison County Detention Facility","Alabama","Madison",1089,"AL",1,2010,0
"76",7,"Madison County Detention Facility","Alabama","Madison",1089,"AL",1,2011,2.13903743315508
"77",7,"Madison County Detention Facility","Alabama","Madison",1089,"AL",1,2012,2.02634245187437
"78",7,"Madison County Detention Facility","Alabama","Madison",1089,"AL",1,2013,3.05498981670061
"79",7,"Madison County Detention Facility","Alabama","Madison",1089,"AL",1,2014,0
"80",7,"Madison County Detention Facility","Alabama","Madison",1089,"AL",1,2015,1.21212121212121
"81",7,"Madison County Detention Facility","Alabama","Madison",1089,"AL",1,2016,0
"82",7,"Madison County Detention Facility","Alabama","Madison",1089,"AL",1,2017,1.15740740740741
"83",7,"Madison County Detention Facility","Alabama","Madison",1089,"AL",1,2018,0
"84",7,"Madison County Detention Facility","Alabama","Madison",1089,"AL",1,2019,5.61797752808989
"85",8,"Marshall County Jail","Alabama","Marshall",1095,"AL",1,2008,0
"86",8,"Marshall County Jail","Alabama","Marshall",1095,"AL",1,2009,9.06782734856728
"87",8,"Marshall County Jail","Alabama","Marshall",1095,"AL",1,2010,0
"88",8,"Marshall County Jail","Alabama","Marshall",1095,"AL",1,2011,4.50876955678795
"89",8,"Marshall County Jail","Alabama","Marshall",1095,"AL",1,2012,0
"90",8,"Marshall County Jail","Alabama","Marshall",1095,"AL",1,2013,0
"91",8,"Marshall County Jail","Alabama","Marshall",1095,"AL",1,2014,0
"92",8,"Marshall County Jail","Alabama","Marshall",1095,"AL",1,2015,0
